,workname,known as,photographer,year,historical event,circulations,doc2vec size
0,MigrantMother,Migrant mother,Dorothea Lange,1936,Great Depression,41697,5315
1,SpanishSoldier,Falling Soldier,Robert Capa,1936,Spanish Civil War,18194,2177
2,Hindenburg,The Hindenburg Disaster,Sam Shere,1937,Zeppelin,36683,4867
3,TimesSquareKiss,Times Square Kiss,Alfred Eisenstaedt,1945,V-Day,65164,3820
4,IwoJima,Raising the Flag on Iwo Jima,Joe Rosenthal,1945,Pacific War,63249,4804
5,Camp,Holocaust survivors,Lee Miller,1945,Holocaust,18343,2954
6,Berlin,Raising a Flag over the Reichstag,Yevgeny Khaldei,1945,World War II,90344,1727
7,Ghandi,Gandhi and the Spinning Wheel,Margaret Bourke-White,1946,Mohandas Gandhi,10893,3097
8,Mao,The Founding of the PRC,Hou Bo,1949,Mao Zedong,2865,309
9,Anasuma,Assassination of Inejiro Asanuma,Yasushi Nagao,1960,post-war Japan,3921,745
10,Che,Guerillero heroico,Alberto Korda,1960,Che Guevara,108288,3034
11,Monk,The Burning Monk,Malcolm Browne,1963,Vietnam War,18122,4091
12,VietCong,Saigon Execution,Eddie Adams,1968,Vietnam War,18305,3437
13,ManMoon,A Man on the Moon,Neil Armstrong,1969,Space Race,186921,4035
14,KentState,Kent State Shootings,John Filo,1970,Kent State,7320,3029
15,NapalmGirl,Accidental Napalm,Nick Ut,1972,Vietnam War,38619,2834
16,ChileCoup,Allende's Last Stand,Luis Orlando,1973,South-American Coups,6997,469
17,SharbatGula,Afghan Girl,Steve McCurry,1984,Afghan War,47892,2682
18,TankMan,Tank Man,Jeff Widener,1989,Tiananmen Square Protest,63182,3870
19,ChildVulture,The vulture and the little girl,Kevin Carter,1993,Sudan famine,30121,2031
20,Rwanda,Survivor of Hutu death camp,James Nachtwey,1994,Rwandan genocide,3395,696
21,FallingMan,The Falling Man,Richard Drew,2001,9/11,11681,1918
22,Plane911,Hijacked airplane,unknown,2001,9/11,6938,1599
23,AbuGhraib,Abu Ghraib prisoner,Sergeant Ivan Frederick,2003,Iraq War,3601,936
24,WarRoom,The Situation Room,Pete Souza,2011,War on Terrorism,20102,4752
25,AlanKurdi,Alan Kurdi,Nilufer Demir,2015,Refugee crisis,24432,2251
